year_month,n_observations,n_unique_options,mean_mid_price,mean_iv,mean_spread_pct,mean_volume,mean_oi,mean_vix
2010-01,63,63,78.12333333333333,0.1664052380952381,0.05453891606557742,518.5555555555555,6617.714285714285,16.99936507936508
2010-02,32,32,85.03,0.1771724375,0.04918570604021715,306.375,3467.125,18.18
2010-03,49,49,72.16969387755103,0.18352269387755102,0.053365773605518245,673.5714285714286,6766.0,19.342448979591836
2010-04,18,18,77.0611111111111,0.16970905555555554,0.05702117986905128,783.3888888888889,7196.111111111111,18.85111111111111
2010-05,69,69,66.1936231884058,0.1751457536231884,0.05263969830446218,1004.4927536231884,6494.391304347826,17.416376811594205
2010-06,30,30,78.60866666666666,0.18038543333333334,0.06112532255793208,480.8,4620.533333333334,17.591333333333335
2010-07,24,24,85.88208333333334,0.171404625,0.05517608769733514,750.7083333333334,6178.333333333333,17.3625
2010-08,55,55,77.28381818181818,0.1526777818181818,0.050472381671796275,961.8545454545455,8462.054545454546,17.026363636363637
2010-09,25,25,64.7178,0.1625,0.05728070969664549,887.76,9125.16,17.566000000000003
2010-10,21,21,83.68119047619048,0.175606,0.05239943258061652,324.9047619047619,3349.2380952380954,17.06
2010-11,16,16,92.28812500000001,0.1789783125,0.05247145333119344,686.0625,9822.875,20.11375
2010-12,14,14,91.17357142857144,0.17858235714285714,0.05164796384106823,442.64285714285717,5270.857142857143,20.24142857142857
2011-01,15,15,81.90733333333334,0.18134273333333334,0.06907729761740307,596.8,8488.133333333333,19.197333333333333
2011-02,48,48,81.56104166666667,0.18679354166666665,0.05089295096082149,796.0625,6336.666666666667,19.00166666666667
2011-03,13,13,63.906153846153856,0.18760546153846155,0.057482801688896704,1075.6923076923076,29284.76923076923,18.9
2011-04,29,29,62.38620689655173,0.16491186206896552,0.07227097134204029,567.6206896551724,4944.9655172413795,17.47586206896552
2011-05,74,74,73.37216216216216,0.15855337837837838,0.064492987964538,1575.6486486486488,16940.513513513513,16.677567567567568
2011-06,2,2,146.2475,0.182158,0.06771557466274347,2011.5,12351.5,19.35
2011-07,40,40,82.306625,0.1780891,0.052286685444022596,695.975,10020.6,18.87325
2011-08,25,25,70.398,0.1711982,0.05216939778399973,846.8,10878.12,17.964399999999998
2011-09,46,46,69.24347826086957,0.1744103043478261,0.0549062583764941,607.6304347826087,7474.304347826087,17.23478260869565
2011-10,40,40,65.64,0.17577194999999998,0.054977037526056136,2974.925,36733.4,17.757749999999998
2011-11,9,9,60.78055555555555,0.1759738888888889,0.04734140394064897,766.1111111111111,7277.666666666667,19.875555555555554
2011-12,58,58,80.4201724137931,0.18328068965517244,0.05077070588216439,1150.7931034482758,7902.741379310345,19.446724137931035
2012-01,84,84,69.70523809523809,0.19864145238095238,0.05750666168251103,891.1785714285714,13386.964285714286,19.31083333333333
2012-02,81,81,67.9170987654321,0.2003948024691358,0.05736587176882777,837.0370370370371,11417.604938271605,20.92641975308642
2012-03,65,65,66.24715384615385,0.18662892307692308,0.047192174798491464,1325.5076923076922,22163.292307692307,19.21415384615385
2012-04,31,31,76.06919354838709,0.17975290322580645,0.05001091846430345,871.516129032258,11190.354838709678,18.666774193548388
2012-05,52,52,66.08634615384616,0.17084428846153846,0.0636688703873676,717.6153846153846,9154.961538461539,18.300384615384612
2012-06,80,80,67.5385625,0.1689645875,0.06418527166928094,725.6125,15280.6625,15.223500000000001
2012-07,75,75,83.68826666666666,0.18061784,0.06399387268819405,1083.7066666666667,8407.146666666667,17.771866666666664
2012-08,64,64,67.41296875,0.19359678125,0.052562853059051104,1106.140625,19458.515625,20.4884375
2012-09,49,49,61.49642857142857,0.19238222448979592,0.046387046710516674,1309.1632653061224,14745.897959183674,18.21673469387755
2012-10,85,85,76.38111764705883,0.18661956470588234,0.056883651799209865,1263.2823529411764,12228.776470588235,19.008
2012-11,47,47,75.02095744680851,0.15800927659574468,0.049922511412174665,945.4042553191489,12383.936170212766,16.30808510638298
2012-12,49,49,78.01510204081632,0.15832640816326532,0.051266360231777754,690.7755102040817,6686.714285714285,17.74061224489796
2013-01,59,59,68.80508474576271,0.16643055932203388,0.054383180796069984,1107.0677966101696,8712.93220338983,17.383220338983048
